device,tstamp,dstamp,CurrL1_A,CurrL2_A,CurrL3_A,ActPow_kW,AppPow_kVA,ReacPow_kvar,Energy_kWh,VolL1_V,VolL2_V,VolL3_V,THDUL1,THDUL2,THDUL3,THDIL1,THDIL2,THDIL3,cosphi
Master,2025-05-16 04:32:34,05:31 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,406.2,422.3,444.97,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 04:32:34,05:31/ 16.05.2025 (UTC 2),13.81,13.2,10.58,7.43,9.11,\N,454202,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:32:34,05:31/ 16.05.2025 (UTC 2),2.5,1.08,1.1,0.27,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:33:34,05:32 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,374.17,406.2,393.7,\N,\N,\N,1
InformÃ¡tica,2025-05-16 04:33:34,05:32/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:33:34,05:32/ 16.05.2025 (UTC 2),104.77,84.5,91.11,66.96,67.99,\N,2322250,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:33:34,05:32/ 16.05.2025 (UTC 2),2.52,1.1,1.09,0.27,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:33:34,05:32/ 16.05.2025 (UTC 2),15.11,15.26,15.79,11.07,11.19,\N,251139,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:33:35,05:32/ 16.05.2025 (UTC 2),13.8,13.11,8.6,7.07,8.61,\N,454202,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:34:34,05:33 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,407.43,428.17,421.9,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 04:34:34,05:33/ 16.05.2025 (UTC 2),14.18,15.94,8.69,7.93,9.03,\N,454202,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:34:34,05:33/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:34:34,05:33/ 16.05.2025 (UTC 2),15.1,15.29,15.8,11.06,11.19,\N,251139,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:34:34,05:33/ 16.05.2025 (UTC 2),2.48,1.08,1.09,0.27,1.13,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:34:34,05:33/ 16.05.2025 (UTC 2),105.39,88.85,91.59,68.39,69.25,\N,2322250,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:35:34,05:34/ 16.05.2025 (UTC 2),2.49,1.09,1.1,0.27,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:35:34,05:34/ 16.05.2025 (UTC 2),14.05,10.51,10.85,7.2,8.59,\N,454202,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:35:34,05:34/ 16.05.2025 (UTC 2),15.08,15.25,15.77,11.06,11.19,\N,251139,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:35:34,05:34/ 16.05.2025 (UTC 2),105.02,83.42,93.29,67.68,68.6,\N,2322250,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:35:34,05:34/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:35:34,05:34 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,389.44,410.28,400,\N,\N,\N,1
ParqueInterior,2025-05-16 04:36:34,05:35/ 16.05.2025 (UTC 2),2.52,1.11,1.09,0.27,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:36:34,05:35 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,382.97,400,408.25,\N,\N,\N,1
InformÃ¡tica,2025-05-16 04:36:34,05:35/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:36:34,05:35/ 16.05.2025 (UTC 2),15.1,15.24,15.77,11.06,11.19,\N,251139,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:36:34,05:35/ 16.05.2025 (UTC 2),105.3,83.51,95.17,67.89,68.88,\N,2322250,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:36:35,05:35/ 16.05.2025 (UTC 2),14.1,11.04,10.53,7.21,8.66,\N,454202,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:37:34,05:36/ 16.05.2025 (UTC 2),13.85,10.98,20.33,9.77,10.95,\N,454202,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:37:34,05:36/ 16.05.2025 (UTC 2),15.11,15.26,15.76,11.06,11.19,\N,251139,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:37:34,05:36/ 16.05.2025 (UTC 2),2.49,1.11,1.09,0.27,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:37:34,05:36/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:37:34,05:36/ 16.05.2025 (UTC 2),93.21,83.64,105.7,67.54,68.49,\N,2322250,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:37:34,05:36 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.08,0.12,0.12,378.59,422.3,319.72,\N,\N,\N,1
Master,2025-05-16 04:38:34,05:37 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,410.28,336.65,354.34,\N,\N,\N,1
InformÃ¡tica,2025-05-16 04:38:34,05:37/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:38:34,05:37/ 16.05.2025 (UTC 2),2.51,1.11,1.08,0.27,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:38:34,05:37/ 16.05.2025 (UTC 2),15.1,15.25,15.75,11.05,11.18,\N,251140,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:38:34,05:37/ 16.05.2025 (UTC 2),92.75,84.8,92.57,64.47,65.53,\N,2322250,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:38:34,05:37/ 16.05.2025 (UTC 2),13.82,10.92,8.59,6.78,8.09,\N,454202,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:39:34,05:38/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:39:34,05:38/ 16.05.2025 (UTC 2),13.88,11.02,10.02,7,8.47,\N,454203,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:39:34,05:38/ 16.05.2025 (UTC 2),93.27,85.41,96.92,65.64,66.72,\N,2322250,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:39:34,05:38/ 16.05.2025 (UTC 2),2.52,1.11,1.08,0.27,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:39:34,05:38 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,393.7,456.07,408.25,\N,\N,\N,1
ParqueExterior,2025-05-16 04:39:34,05:38/ 16.05.2025 (UTC 2),15.1,15.25,15.76,11.06,11.18,\N,251140,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:40:34,05:39 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,463.68,321.46,402.08,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 04:40:34,05:39/ 16.05.2025 (UTC 2),13.81,10.5,12.31,7.31,8.89,\N,454203,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:40:34,05:39/ 16.05.2025 (UTC 2),92.98,84.58,98.28,65.82,66.94,\N,2322250,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:40:34,05:39/ 16.05.2025 (UTC 2),15.08,15.23,15.79,11.06,11.19,\N,251140,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:40:34,05:39/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:40:35,05:39/ 16.05.2025 (UTC 2),2.53,1.09,1.1,0.27,1.15,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:41:34,05:40 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,424.26,400,376.39,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 04:41:34,05:40/ 16.05.2025 (UTC 2),13.85,10.55,23.51,10.34,11.64,\N,454203,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:41:34,05:40/ 16.05.2025 (UTC 2),95.06,85.47,108.88,69.27,70.3,\N,2322250,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:41:34,05:40/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:41:34,05:40/ 16.05.2025 (UTC 2),15.05,15.22,15.76,11.06,11.18,\N,251140,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:41:34,05:40/ 16.05.2025 (UTC 2),2.54,1.11,1.09,0.27,1.15,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:42:34,05:41/ 16.05.2025 (UTC 2),15.12,15.24,15.79,11.08,11.2,\N,251140,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:42:34,05:41/ 16.05.2025 (UTC 2),94.69,85.94,94.53,65.74,66.8,\N,2322260,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:42:34,05:41/ 16.05.2025 (UTC 2),2.54,1.12,1.07,0.27,1.15,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:42:34,05:41/ 16.05.2025 (UTC 2),14.21,10.56,10.12,7.07,8.47,\N,454203,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:42:35,05:41/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:42:35,05:41 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,418.33,422.3,323.18,\N,\N,\N,1
ParqueInterior,2025-05-16 04:43:34,05:42/ 16.05.2025 (UTC 2),2.55,1.11,1.08,0.27,1.15,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:43:34,05:42/ 16.05.2025 (UTC 2),93.87,85.37,95.32,65.53,66.58,\N,2322260,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:43:34,05:42/ 16.05.2025 (UTC 2),14.17,11.29,10.25,7.27,8.66,\N,454203,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:43:34,05:42/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:43:34,05:42/ 16.05.2025 (UTC 2),15.13,15.27,15.79,11.08,11.2,\N,251141,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:43:35,05:42 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,420.32,323.18,310.91,\N,\N,\N,1
ParqueInterior,2025-05-16 04:44:34,05:43/ 16.05.2025 (UTC 2),2.54,1.11,1.06,0.27,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:44:34,05:43/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:44:34,05:43/ 16.05.2025 (UTC 2),111.34,104.2,112.08,75.96,79.08,\N,2322260,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:44:34,05:43/ 16.05.2025 (UTC 2),14.21,10.58,12.11,7.4,8.94,\N,454203,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:44:34,05:43 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,435.89,341.57,395.81,\N,\N,\N,1
ParqueExterior,2025-05-16 04:44:34,05:43/ 16.05.2025 (UTC 2),15.14,15.25,15.83,11.06,11.19,\N,251141,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:45:34,05:44/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:45:34,05:44/ 16.05.2025 (UTC 2),13.87,10.52,12.36,7.34,8.88,\N,454203,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:45:34,05:44/ 16.05.2025 (UTC 2),151.2,147.14,157.86,101.8,110.21,\N,2322260,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:45:34,05:44/ 16.05.2025 (UTC 2),15.17,15.29,15.82,11.06,11.18,\N,251141,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:45:34,05:44 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,442.72,410.28,389.44,\N,\N,\N,1
ParqueInterior,2025-05-16 04:45:34,05:44/ 16.05.2025 (UTC 2),2.54,1.11,1.06,0.28,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:46:34,05:45 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,414.73,406.2,418.33,\N,\N,\N,1
InformÃ¡tica,2025-05-16 04:46:34,05:45/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:46:34,05:45/ 16.05.2025 (UTC 2),15.12,15.29,15.81,11.06,11.18,\N,251141,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:46:34,05:45/ 16.05.2025 (UTC 2),114,106.33,127.87,81.35,84.22,\N,2322260,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:46:34,05:45/ 16.05.2025 (UTC 2),2.52,1.1,1.07,0.28,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:46:34,05:45/ 16.05.2025 (UTC 2),13.91,10.54,21.65,9.94,11.15,\N,454204,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:47:34,05:46/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:47:34,05:46 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,395.81,406.2,336.65,\N,\N,\N,1
TorreLidador,2025-05-16 04:47:34,05:46/ 16.05.2025 (UTC 2),96.91,84.44,99.04,66.49,67.84,\N,2322260,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:47:34,05:46/ 16.05.2025 (UTC 2),2.56,1.11,1.07,0.27,1.15,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:47:34,05:46/ 16.05.2025 (UTC 2),15.31,15.49,16.04,11.05,11.33,\N,251141,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:47:34,05:46/ 16.05.2025 (UTC 2),13.92,10.57,9.88,6.91,8.33,\N,454204,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:48:34,05:47/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:48:34,05:47/ 16.05.2025 (UTC 2),15.32,15.49,16.04,11.04,11.32,\N,251142,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:48:34,05:47/ 16.05.2025 (UTC 2),93.61,84,96.18,65.43,66.28,\N,2322260,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:48:34,05:47 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,397.91,391.58,316.23,\N,\N,\N,1
ParqueInterior,2025-05-16 04:48:34,05:47/ 16.05.2025 (UTC 2),2.55,1.1,1.07,0.27,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:48:34,05:47/ 16.05.2025 (UTC 2),13.86,10.49,8.66,6.72,7.98,\N,454204,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:49:34,05:48/ 16.05.2025 (UTC 2),15.31,15.52,16.06,11.06,11.34,\N,251142,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:49:34,05:48/ 16.05.2025 (UTC 2),94.69,87.42,101.12,67.5,68.5,\N,2322260,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:49:34,05:48/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:49:34,05:48/ 16.05.2025 (UTC 2),13.87,13.45,10.49,7.5,9.15,\N,454204,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:49:34,05:48/ 16.05.2025 (UTC 2),2.55,1.1,1.07,0.27,1.14,\N,68059.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:49:34,05:48 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,421.9,321.46,402.08,\N,\N,\N,1
InformÃ¡tica,2025-05-16 04:50:34,05:49/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:50:34,05:49/ 16.05.2025 (UTC 2),14.21,13.34,22.05,10.56,11.98,\N,454204,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:50:34,05:49/ 16.05.2025 (UTC 2),15.34,15.48,16.04,11.04,11.32,\N,251142,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:50:34,05:49 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,408.25,344.8,410.28,\N,\N,\N,1
ParqueInterior,2025-05-16 04:50:34,05:49/ 16.05.2025 (UTC 2),2.58,1.11,1.05,0.27,1.15,\N,68059.8,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:50:34,05:49/ 16.05.2025 (UTC 2),96.29,87.82,116.45,71.6,72.59,\N,2322260,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:51:34,05:50/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:51:34,05:50/ 16.05.2025 (UTC 2),95.25,86.84,103.4,68.08,69.07,\N,2322270,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:51:34,05:50/ 16.05.2025 (UTC 2),14.1,13.19,8.79,7.23,8.73,\N,454204,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:51:34,05:50 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,393.7,333.33,433.97,\N,\N,\N,1
ParqueExterior,2025-05-16 04:51:34,05:50/ 16.05.2025 (UTC 2),15.36,15.49,16.02,11.06,11.34,\N,251142,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:51:34,05:50/ 16.05.2025 (UTC 2),2.54,1.12,1.05,0.27,1.14,\N,68059.8,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:52:34,05:51/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:52:34,05:51/ 16.05.2025 (UTC 2),2.55,1.13,1.05,0.27,1.14,\N,68059.8,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:52:34,05:51 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,397.91,416.33,402.08,\N,\N,\N,1
ParqueExterior,2025-05-16 04:52:34,05:51/ 16.05.2025 (UTC 2),15.32,15.47,16.05,11.05,11.34,\N,251142,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:52:34,05:51/ 16.05.2025 (UTC 2),96.11,85.2,102.05,67.64,68.57,\N,2322270,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:52:34,05:51/ 16.05.2025 (UTC 2),14,16.1,8.51,8.23,9.33,\N,454204,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:53:34,05:52 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.13,0.11,456.07,344.8,418.33,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 04:53:34,05:52/ 16.05.2025 (UTC 2),13.83,10.56,10.84,7.13,8.53,\N,454204,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:53:34,05:52/ 16.05.2025 (UTC 2),95.52,85.49,107.21,68.83,69.8,\N,2322270,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:53:34,05:52/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:53:34,05:52/ 16.05.2025 (UTC 2),15.32,15.45,15.99,11.04,11.33,\N,251142,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:53:34,05:52/ 16.05.2025 (UTC 2),2.54,1.13,1.06,0.27,1.15,\N,68059.8,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:54:34,05:53 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,442.72,328.3,326.6,\N,\N,\N,1
InformÃ¡tica,2025-05-16 04:54:34,05:53/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:54:34,05:53/ 16.05.2025 (UTC 2),15.33,15.48,16.03,11.05,11.34,\N,251143,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:54:34,05:53/ 16.05.2025 (UTC 2),95.57,85.44,112.76,69.99,70.93,\N,2322270,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:54:34,05:53/ 16.05.2025 (UTC 2),13.85,10.51,10.56,7.05,8.46,\N,454204,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:54:34,05:53/ 16.05.2025 (UTC 2),2.53,1.12,1.07,0.27,1.14,\N,68059.8,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:55:34,05:54/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:55:34,05:54/ 16.05.2025 (UTC 2),15.33,15.48,16.06,11.06,11.34,\N,251143,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 04:55:34,05:54 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,422.3,333.33,395.81,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 04:55:34,05:54/ 16.05.2025 (UTC 2),13.96,10.5,10.58,7.08,8.48,\N,454205,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:55:34,05:54/ 16.05.2025 (UTC 2),97.02,86.62,108.25,69.67,70.61,\N,2322270,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:55:34,05:54/ 16.05.2025 (UTC 2),2.57,1.12,1.05,0.27,1.15,\N,68059.8,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 04:56:34,05:55/ 16.05.2025 (UTC 2),14.49,10.49,8.59,6.83,8.13,\N,454205,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 04:56:34,05:55/ 16.05.2025 (UTC 2),98.15,86.49,106.69,69.63,70.54,\N,2322270,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 04:56:34,05:55/ 16.05.2025 (UTC 2),15.32,15.45,16.01,11.05,11.33,\N,251143,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 04:56:34,05:55/ 16.05.2025 (UTC 2),2.55,1.12,1.07,0.27,1.15,\N,68059.8,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 04:56:34,05:55/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
